Title,Rated,Director,Language,Country,imdbID,BoxOffice,IMDB_Value,RT_Value,MC_Value,Actor_1,Actor_2,Actor_3,Actor_4
Skinwalkers,R,James Isaac,English,Canada,tt0461703,1018965.0,45.0,13.0,33.0,Jason Behr, Elias Koteas, Rhona Mitra,
The Simpsons Movie,PG-13,David Silverman,English,United States,tt0462538,183135014.0,73.0,87.0,80.0,Dan Castellaneta, Julie Kavner, Nancy Cartwright,
I Know Who Killed Me,R,Chris Sivertson,English,United States,tt0897361,7498716.0,36.0,9.0,16.0,Lindsay Lohan, Julia Ormond, Neal McDonough,
No Reservations,PG,Scott Hicks,English,United States,tt0481141,43107979.0,63.0,42.0,50.0,Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin,
Underdog,PG,Frederik Du Chau,English,United States,tt0467110,43760605.0,47.0,15.0,37.0,Peter Dinklage, Jason Lee, Amy Adams,
Charlie Bartlett,R,Jon Poll,English,United States,tt0423977,3951699.0,69.0,58.0,54.0,Anton Yelchin, Robert Downey Jr., Hope Davis,
El cantante,R,Leon Ichaso,Spanish,United States,tt0458522,7556712.0,54.0,25.0,46.0,Marc Anthony, Jennifer Lopez, John Ortiz,
The Bourne Ultimatum,PG-13,Paul Greengrass,English,United States,tt0440963,227471070.0,80.0,92.0,85.0,Matt Damon, Edgar Ramírez, Joan Allen,
Bratz,PG,Sean McNamara,English,,tt0804452,,30.0,10.0,21.0,Skyler Shaye, Janel Parrish, Logan Browning,
You Kill Me,R,John Dahl,English,United States,tt0796375,2429367.0,64.0,78.0,64.0,Ben Kingsley, Téa Leoni, Luke Wilson,
A Man's Job,,Aleksi Salmenperä,Finnish,Finland,tt0890882,,66.0,,,Tommi Korpela, Maria Heiskanen, Jani Volanen,
Superbad,R,Greg Mottola,English,United States,tt0829482,121463226.0,76.0,88.0,76.0,Michael Cera, Jonah Hill, Christopher Mintz-Plasse,
The Call of Wild,G,"Adam Ravetch, Sarah Robertson",English,United States,tt0488508,833532.0,69.0,61.0,64.0,Queen Latifah, Katrina Agate, Zain Ali,
Joshua,R,George Ratliff,English,United States,tt0808331,482355.0,58.0,62.0,69.0,Sam Rockwell, Vera Farmiga, Jacob Kogan,
Talk to Me,R,Kasi Lemmons,English,United States,tt0796368,4533261.0,73.0,83.0,69.0,Don Cheadle, Chiwetel Ejiofor, Bruce McFee,
Resurrecting the Champ,PG-13,Rod Lurie,English,United States,tt0416185,3172573.0,67.0,60.0,55.0,Samuel L. Jackson, Josh Hartnett, Kathryn Morris,
American Pastime,Not Rated,Desmond Nakano,English,United States,tt0825225,,66.0,33.0,,Aaron Yoo, Olesya Rulin, Carleton Bluford,
Molière,PG-13,Laurent Tirard,French,France,tt0796335,635733.0,71.0,69.0,59.0,Romain Duris, Fabrice Luchini, Laura Morante,
Rush Hour 3,PG-13,Brett Ratner,English,United States,tt0293564,140125968.0,62.0,17.0,44.0,Jackie Chan, Chris Tucker, Max von Sydow,
The Last Legion,PG-13,Doug Lefler,English,United Kingdom,tt0462396,5933494.0,54.0,15.0,37.0,Colin Firth, Ben Kingsley, Aishwarya Rai Bachchan,
Balls of Fury,PG-13,Robert Ben Garant,English,United States,tt0424823,32886940.0,53.0,21.0,38.0,Dan Fogler, Christopher Walken, George Lopez,
Sydney White,PG-13,Joe Nussbaum,English,United States,tt0815244,11892415.0,62.0,35.0,45.0,Amanda Bynes, Sara Paxton, Matt Long,
The Kingdom,R,Peter Berg,English,United States,tt0431197,47536778.0,70.0,51.0,56.0,Jamie Foxx, Chris Cooper, Jennifer Garner,
