imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3
tt5974624,Soul on a String,2016,09,3669.0,67.0,89.0,60.0,60.0,,Yang Zhang,Tibetan,China,142.0,Jinpa, Quniciren, Siano Dudiom Zahi,Drama,,
tt6104206,Jackals,2017,09,,49.0,44.0,33.0,54.97,Not Rated,Kevin Greutert,English,United States,86.0,Deborah Kara Unger, Ben Sullivan, Chelsea Ricketts,Horror,Thriller,
tt3920890,Heartland,2016,09,,61.0,56.0,56.0,56.0,Not Rated,Maura Anderson,English,United States,98.0,Velinda Godfrey, Amelia Harris, Todd Waring,Drama,Romance,
tt4712754,Pitching Tents,2017,03,,45.0,60.0,60.0,60.0,,Jacob Cooney,English,United States,92.0,Michael Grant, Jim Norton, Booboo Stewart,Comedy,,
tt4045894,Get the Girl,2017,01,,50.0,13.0,52.0,52.0,R,Eric England,,United States,87.0,Justin Dobies, Elizabeth Whitson, Noah Segan,Action,Comedy,Crime
tt5167934,The Chamber,2016,08,,44.0,33.0,40.0,52.86,Not Rated,Ben Parker,English,United Kingdom,90.0,Johannes Kuhnke, Charlotte Salt, James McArdle,Horror,Thriller,
tt4637878,"A Woman, a Part",2017,03,23562.0,53.0,87.0,66.0,62.0,Not Rated,Elisabeth Subrin,English,United States,97.0,Dagmara Dominczyk, Maggie Siff, Khandi Alexander,Drama,,
tt3226454,Among Us,2017,08,,43.0,60.0,60.0,60.0,TV-MA,Gary King,English,United States,91.0,Mark DiConzo, Katie Morrison, Elena Sanz,Drama,Horror,Thriller
tt5985260,Same Time Next Week,2017,08,,63.0,68.28999999999999,68.28999999999999,68.28999999999999,TV-PG,Monika Mitchell,English,Canada,83.0,Travis Milne, Jewel Staite, Stephanie Bennett,Romance,TV Movie,Comedy
tt5618332,The Good Nanny,2017,05,,52.0,56.09,56.09,56.09,TV-14,Jake Helgren,English,United States,91.0,Briana Evigan, Ellen Hollman, Peter Porte,Thriller,TV Movie,
tt6680116,Off the Rails,2017,07,,51.0,56.0,56.0,56.0,TV-14,David Jackson,English,United States,87.0,Hannah Barefoot, Thomas Beaudoin, Andreas Damm,Thriller,TV Movie,
tt5131960,Off the Rails,2016,11,34249.0,71.0,100.0,80.0,69.0,TV-14,Adam Irving,English,Canada,87.0,Charles Bilal, Courtney Brown, Sally Butler,Documentary,,
tt5544384,Sword Art Online the Movie: Ordinal Scale,2017,02,1522976.0,73.0,77.0,77.0,77.0,TV-14,Tomohiko Itô,Japanese,Japan,119.0,Yoshitsugu Matsuoka, Haruka Tomatsu, Kanae Itô,Animation,Action,Adventure
tt2937366,Little Evil,2017,08,,57.0,92.0,56.21000000000001,56.21000000000001,TV-MA,Eli Craig,English,United States,94.0,Evangeline Lilly, Owen Atlas, Adam Scott,Comedy,Horror,
tt6945882,Vixen: The Movie,2017,05,,65.0,70.0,70.0,70.0,Not Rated,"Curt Geda, James Tucker",English,USA,75.0,Megalyn Echikunwoke, Stephen Amell, Katie Cassidy,Action,Animation,
tt6344696,Trinity Seven: Eternity Library & Alchemic Girl,2017,02,,65.0,75.71,75.71,75.71,PG-13,Hiroshi Nishikiori,Japanese,Japan,55.0,Yoshitsugu Matsuoka, Yumi Hara, Aya Uchida,Animation,Action,Comedy
tt5932894,Jesus,2016,08,,58.0,59.47,68.0,59.47,Unrated,Fernando Guzzoni,Spanish,Chile,85.0,Nicolás Durán, Alejandro Goic, Gastón Salgado,Drama,,
tt4898730,Temple,2017,09,,37.0,27.0,23.0,39.0,TV-MA,Michael Barrett,Japanese,Japan,78.0,Logan Huffman, Natalia Warner, Brandon Sklenar,History,Horror,
tt3583538,Kill Me Please,2015,09,,58.0,65.0,69.0,49.11,,Anita Rocha da Silveira,Portuguese,Brazil,101.0,Valentina Herszage, Dora Freind, Mari Oliveira,Thriller,Drama,Horror
tt6013154,Dolores,2017,01,555309.0,71.0,98.0,81.0,66.0,Not Rated,Peter Bratt,English,United States,95.0,Dolores Huerta, Martin Luther King, Luis Valdez,Documentary,,
tt5621300,Mike Boy,2017,09,,54.0,0.0,0.0,0.0,,Hamzah Tarzan,English,United States,89.0,Hugh Massey, Emily Killian, Robert Sisko,Thriller,Crime,Mystery
tt3234084,I Do... Until I Don't,2017,09,280668.0,44.0,28.0,43.0,52.809999999999995,R,Lake Bell,English,United States,103.0,Lake Bell, Ed Helms, Mary Steenburgen,Comedy,,
tt4785662,Menorca,2016,12,,43.0,48.0,48.0,48.0,Unrated,John Barnard,English,Canada,81.0,Tammy Gillis, Sheila Campbell, Aaron Merke,Drama,,
tt2461340,Till We Meet Again,2016,11,,61.0,65.0,65.0,65.0,Not Rated,Bank Tangjaitrong,English,,105.0,Johan Matton, Linnea Larsdotter, Emrhys Cooper,Drama,Adventure,
tt2382622,After the Wedding,2017,07,,45.0,48.0,48.0,48.0,,Claudia Cifuentes,English,United States,80.0,Kandis Fay, Edy Ganem, Nick Puga,Drama,Comedy,
tt6417144,The Mothman of Point Pleasant,2017,05,,60.0,56.0,56.0,56.0,,Seth Breedlove,English,United States,67.0,Mothman, Denny Bellamy, Marcella Bennett,Documentary,Horror,
tt5152606,Illicit,2017,05,,50.0,37.0,37.0,37.0,,Corey Grant,,United States,120.0,David Ramsey, Shireen Crutchfield, McKinley Freeman,Thriller,,
tt3342332,No Way to Live,2016,09,,56.0,53.0,53.0,53.0,TV-14,"Nick Chakwin, David Guglielmo",English,United States,84.0,Freya Tingley, Tom Williamson, Timothy V. Murphy,Thriller,Crime,Drama
tt5240732,Hepta: The Last Lecture,2016,04,,76.0,77.59,77.59,77.59,,Hadi El Bagoury,Arabic,Egypt,120.0,Amr Youssef, Ahmed Malek, Ahmed Dawood,Romance,Drama,
tt0949379,Dark Rising,2007,10,,50.0,42.0,42.0,42.0,,Andrew Cymek,English,Canada,92.0,Landy Cannon, Brigitte Kingsley, Julia Schneider,Fantasy,Action,Horror
tt7014110,Bring It On: Worldwide #Cheersmack,2017,08,,42.0,60.66,60.66,60.66,PG-13,Robert Adetuyi,English,United States,95.0,Stephan Benson, Kai Luke Brummer, Sophie de Bruyn,Comedy,Romance,
