Title,Rated,Director,Language,Country,imdbID,BoxOffice,IMDB_Value,RT_Value,MC_Value,Actor_1,Actor_2,Actor_3,Actor_4
The Human Condition II: Road to Eternity,Not Rated,Masaki Kobayashi,Japanese,Japan,tt0053115,,85.0,,,Tatsuya Nakadai, Michiyo Aratama, Kokinji Katsura,
Pickpocket,Not Rated,Robert Bresson,French,,tt0053168,,76.0,93.0,,Martin LaSalle, Marika Green, Jean Pélégri,
When a Woman Ascends the Stairs,Not Rated,Mikio Naruse,Japanese,Japan,tt0054144,,81.0,100.0,,Hideko Takamine, Tatsuya Nakadai, Masayuki Mori,
The Human Condition III: A Soldier's Prayer,Not Rated,Masaki Kobayashi,Japanese,Japan,tt0055233,,88.0,,,Tatsuya Nakadai, Michiyo Aratama, Tamao Nakamura,
Advise & Consent,Not Rated,Otto Preminger,English,United States,tt0055728,,77.0,75.0,,Franchot Tone, Lew Ayres, Henry Fonda,
Harakiri,Not Rated,Masaki Kobayashi,Japanese,Japan,tt0056058,,86.0,100.0,85.0,Tatsuya Nakadai, Akira Ishihama, Shima Iwashita,
The Music Man,G,Morton DaCosta,English,United States,tt0056262,,78.0,94.0,76.0,Robert Preston, Shirley Jones, Buddy Hackett,
Mutiny on the Bounty,Not Rated,"Lewis Milestone, Carol Reed",English,United States,tt0056264,,72.0,70.0,48.0,Marlon Brando, Trevor Howard, Richard Harris,
Les Carabiniers,,Jean-Luc Godard,German,France,tt0056905,,67.0,79.0,,Patrice Moullet, Marino Masé, Geneviève Galéa,
"Hush...Hush, Sweet Charlotte",Not Rated,Robert Aldrich,English,United States,tt0058213,,75.0,82.0,,Bette Davis, Olivia de Havilland, Joseph Cotten,
Onibaba,Not Rated,Kaneto Shindô,Japanese,Japan,tt0058430,,79.0,90.0,,Nobuko Otowa, Jitsuko Yoshimura, Kei Satô,
Robinson Crusoe on Mars,Not Rated,Byron Haskin,English,United States,tt0058530,,64.0,94.0,,Paul Mantee, Victor Lundin, Adam West,
The Battle of Algiers,Not Rated,Gillo Pontecorvo,Arabic,Italy,tt0058946,879794.0,81.0,99.0,96.0,Brahim Hadjadj, Jean Martin, Yacef Saadi,
A Charlie Brown Christmas,TV-G,Bill Melendez,English,United States,tt0059026,,83.0,94.0,,Ann Altieri, Chris Doran, Sally Dryer,
Major Dundee,Approved,Sam Peckinpah,English,United States,tt0059418,20807.0,67.0,97.0,62.0,Charlton Heston, Richard Harris, Jim Hutton,
A Thousand Clowns,Approved,Fred Coe,English,United States,tt0059798,5232000.0,73.0,72.0,,Jason Robards, Barbara Harris, Martin Balsam,
Andrei Rublev,R,Andrei Tarkovsky,Russian,Soviet Union,tt0060107,124189.0,81.0,95.0,,Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko,
Au hasard Balthazar,Not Rated,Robert Bresson,French,France,tt0060138,45406.0,78.0,100.0,98.0,Anne Wiazemsky, Walter Green, François Lafarge,
Batman,PG,Leslie H. Martinson,English,United States,tt0060153,,65.0,81.0,71.0,Adam West, Burt Ward, Lee Meriwether,
Closely Watched Trains,Not Rated,Jirí Menzel,Czech,Czechoslovakia,tt0060802,,76.0,100.0,,Václav Neckár, Josef Somr, Vlastimil Brodský,
Tokyo Drifter,Not Rated,Seijun Suzuki,Japanese,Japan,tt0061101,,71.0,93.0,,Tetsuya Watari, Chieko Matsubara, Hideaki Nitani,
Branded to Kill,Not Rated,Seijun Suzuki,Japanese,Japan,tt0061882,,72.0,100.0,,Jô Shishido, Mariko Ogawa, Annu Mari,
Playtime,Not Rated,Jacques Tati,French,France,tt0062136,,78.0,98.0,,Jacques Tati, Barbara Dennek, Rita Maiden,
Point Blank,Not Rated,John Boorman,English,United States,tt0062138,,73.0,92.0,86.0,Lee Marvin, Angie Dickinson, Keenan Wynn,
Titicut Follies,Unrated,Frederick Wiseman,English,United States,tt0062374,,77.0,100.0,,,,,
Asterix and Cleopatra,TV-Y7-FV,"René Goscinny, Albert Uderzo",French,France,tt0062687,,72.0,,,Roger Carel, Jacques Morel, Micheline Dax,
The Diamond Arm,Not Rated,Leonid Gaidai,Russian,Soviet Union,tt0062759,,83.0,,,Yuriy Nikulin, Nina Grebeshkova, Andrey Mironov,
The Rolling Stones: Sympathy for the Devil,Not Rated,Jean-Luc Godard,English,United Kingdom,tt0063665,,62.0,44.0,,Sean Lynch, Mick Jagger, Brian Jones,
"Yours, Mine and Ours",Unrated,Melville Shavelson,English,United States,tt0063829,,71.0,54.0,,Lucille Ball, Henry Fonda, Van Johnson,
Claire's Knee,GP,Éric Rohmer,French,France,tt0065772,44390.0,75.0,96.0,,Jean-Claude Brialy, Aurora Cornu, Béatrice Romand,
Performance,R,"Donald Cammell, Nicolas Roeg",English,United Kingdom,tt0066214,,68.0,85.0,,James Fox, Mick Jagger, Anita Pallenberg,
White Sun of the Desert,Not Rated,Vladimir Motyl,Russian,Soviet Union,tt0066565,,77.0,,,Anatoliy Kuznetsov, Pavel Luspekayev, Spartak Mishulin,
Zabriskie Point,R,Michelangelo Antonioni,English,United States,tt0066601,,69.0,67.0,,Mark Frechette, Daria Halprin, Paul Fix,
Duel,PG,Steven Spielberg,English,United States,tt0067023,,76.0,89.0,81.0,Dennis Weaver, Jacqueline Scott, Eddie Firestone,
They Call Me Trinity,G,Enzo Barboni,Italian,Italy,tt0067355,,74.0,,,Terence Hill, Bud Spencer, Steffen Zacharias,
El Topo,Not Rated,Alejandro Jodorowsky,Spanish,Mexico,tt0067866,80302.0,72.0,80.0,65.0,Alejandro Jodorowsky, Brontis Jodorowsky, José Legarreta,
Dr. Phibes Rises Again,PG,Robert Fuest,English,United Kingdom,tt0068503,,63.0,57.0,,Vincent Price, Robert Quarry, Valli Kemp,
Charley Varrick,PG,Don Siegel,English,United States,tt0069865,,75.0,84.0,,Walter Matthau, Joe Don Baker, Felicia Farr,
Dark Star,G,John Carpenter,English,United States,tt0069945,,62.0,77.0,66.0,Dan O'Bannon, Dre Pahich, Brian Narelle,
Sisters,R,Brian De Palma,English,United States,tt0070698,,69.0,85.0,70.0,Margot Kidder, Jennifer Salt, Charles Durning,
Turkish Delight,R,Paul Verhoeven,Dutch,Netherlands,tt0070842,,71.0,86.0,,Monique van de Ven, Rutger Hauer, Tonny Huurdeman,
California Split,R,Robert Altman,English,United States,tt0071269,10900000.0,71.0,86.0,84.0,George Segal, Elliott Gould, Ann Prentiss,
Emmanuelle,Unrated,Just Jaeckin,French,France,tt0071464,,52.0,40.0,,Sylvia Kristel, Alain Cuny, Marika Green,
Gone in 60 Seconds,PG,H.B. Halicki,English,United States,tt0071571,,64.0,43.0,56.0,H.B. Halicki, Marion Busia, Jerry Daugirda,
The Holy Mountain,R,Alejandro Jodorowsky,Spanish,Mexico,tt0071615,61001.0,78.0,84.0,76.0,Alejandro Jodorowsky, Horacio Salinas, Zamira Saunders,
The Twelve Tasks of Asterix,,"René Goscinny, Henri Gruel, Albert Uderzo",French,France,tt0072901,,76.0,,,Roger Carel, Jacques Morel, Pierre Tornade,
French Connection II,R,John Frankenheimer,English,United States,tt0073018,12484444.0,67.0,84.0,68.0,Gene Hackman, Fernando Rey, Bernard Fresson,
"The Irony of Fate, or Enjoy Your Bath!",TV-G,,Russian,Soviet Union,tt0073179,,82.0,,,Andrey Myagkov, Barbara Brylska, Yuriy Yakovlev,
The Passenger,PG,Michelangelo Antonioni,English,Italy,tt0073580,620155.0,75.0,88.0,90.0,Jack Nicholson, Maria Schneider, Jenny Runacre,
Trilogy of Terror,Unrated,Dan Curtis,English,United States,tt0073820,,65.0,92.0,,Karen Black, Robert Burton, John Karlen,
1900,Unrated,Bernardo Bertolucci,Italian,Italy,tt0074084,,77.0,57.0,70.0,Robert De Niro, Gérard Depardieu, Dominique Sanda,
Futureworld,PG,Richard T. Heffron,English,United States,tt0074559,,57.0,36.0,46.0,Peter Fonda, Blythe Danner, Arthur Hill,
Harlan County U.S.A.,PG,Barbara Kopple,English,United States,tt0074605,,82.0,100.0,80.0,John L. Lewis, Carl Horn, Norman Yarborough,
Silver Streak,PG,Arthur Hiller,English,United States,tt0075223,51079064.0,69.0,81.0,41.0,Gene Wilder, Richard Pryor, Jill Clayburgh,
High Anxiety,PG,Mel Brooks,English,United States,tt0076141,31063038.0,66.0,73.0,55.0,Mel Brooks, Madeline Kahn, Cloris Leachman,
"New York, New York",PG,Martin Scorsese,English,United States,tt0076451,16400000.0,66.0,57.0,64.0,Liza Minnelli, Robert De Niro, Lionel Stander,
The Turning Point,PG,Herbert Ross,English,United States,tt0076843,25933445.0,68.0,63.0,68.0,Anne Bancroft, Shirley MacLaine, Mikhail Baryshnikov,
Five Deadly Venoms,R,Cheh Chang,Mandarin,Hong Kong,tt0077559,,70.0,80.0,,Sheng Chiang, Chien Sun, Phillip Chung-Fung Kwok,
Last Hurrah for Chivalry,Not Rated,John Woo,Cantonese,Hong Kong,tt0077655,,70.0,100.0,,Pai Wei, Damian Lau, Kong Lau,
The Clonus Horror,R,Robert S. Fiveson,English,United States,tt0078062,,39.0,,,Peter Graves, Rick DiAngelo, Eugene Robert Glazer,
Snake in the Eagle's Shadow,PG,Woo-Ping Yuen,Cantonese,Hong Kong,tt0078252,,73.0,80.0,,Jackie Chan, Siu-Tin Yuen, Jeong-lee Hwang,
