imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3,Awards,Nominations,Adj_Box_Office,Log_Box_Office,Genre,Sub_Genre
tt3226786,Bigger,2018,10,46382.0,64.0,11.0,37.0,67.9,PG-13,George Gallo,English,United States,107.0,Aneurin Barnard, Kevin Durand, Julianne Hough,Drama,Unknown,Unknown,0.0,0.0,50050.89678901823,10.820795702445343,Drama,Unknown
tt5803438,Milk and Honey: The Movie,2018,11,220.0,51.0,49.0,49.0,49.0,Unknown,Matt Gambell,English,United Kingdom,102.0,Mark Wingett, Claire King, Rachel Bright,Drama,Drama,Thriller/Horror,0.0,0.0,237.4023822513909,5.469756516882553,Drama,Drama
tt6931414,The Great Battle,2018,9,472166.0,70.0,86.0,72.48,72.48,Not Rated,Kwang-shik Kim,Korean,South Korea,135.0,Nam Joo-hyuk, Zo In-sung, Seol-Hyun Kim,War,History,Action/Adventure,0.0,0.0,509515.1509914101,13.141214868182978,Action/Adventure,War
tt2889234,Theeya Velai Seiyyanum Kumaru,2013,6,36277.0,62.0,56.0,56.0,56.0,Unknown,Sundar C.,Tamil,India,125.0,Siddharth, Hansika Motwani, Brahmanandam,Comedy,Drama,Romance,0.0,0.0,42196.53708624339,10.65009343708934,Comedy,Drama
tt6759686,Mater,2017,9,5519.0,47.0,61.0,61.0,61.0,Unknown,Pablo D'Alo Abba,Spanish,Argentina,80.0,Lautaro Perotti, Tamara Kiper, Inda Lavalle,Drama,Unknown,Unknown,0.0,0.0,6101.025742493473,8.716212190532145,Drama,Unknown
tt5959980,Vada Chennai,2018,10,329389.0,84.0,77.31,77.31,77.31,Not Rated,Vetrimaaran,Tamil,Unknown,166.0,Dhanush, Ameer Sultan, Radha Ravi,Action/Adventure,Crime,Drama,0.0,0.0,355444.24221546995,12.781123672648487,Action/Adventure,Crime
tt1279943,Hansamu sûtsu,2008,11,8839532.0,64.0,54.0,54.0,54.0,Unknown,Tsutomu Hanabusa,Japanese,Japan,115.0,Shôsuke Tanihara, Muga Tsukaji, Keiko Kitagawa,Comedy,Drama,Romance,0.0,0.0,11125009.80497253,16.224706267362034,Comedy,Drama
tt6884380,"A Bread Factory, Part One",2018,10,17325.0,69.0,67.92,91.0,67.92,Unknown,Patrick Wang,English,United States,122.0,Tyne Daly, Elisabeth Henry, James Marsters,Drama,Comedy,Unknown,0.0,0.0,18695.437602297032,9.836034794588295,Drama,Comedy
tt6887540,"A Bread Factory, Part Two",2018,10,17325.0,67.0,64.09,91.0,64.09,Unknown,Patrick Wang,English,United States,120.0,Tyne Daly, Wayne Fugate, Isabela Quines,Comedy,Drama,Unknown,0.0,0.0,18695.437602297032,9.836034794588295,Comedy,Drama
tt6494344,A Wizard's Tale,2018,3,2150.0,46.0,17.0,59.0,59.0,TV-G,Andrés Couturier,Unknown,Mexico,97.0,Ian McShane, Toby Kebbell, Lily Collins,Comedy,Animation,Action/Adventure,0.0,0.0,2320.068735638593,7.7493520916519,Comedy,Animation
