original_title,imdb_id,release_date,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,Year,Month
Delta Farce,tt0800003,2007-05-11,0,90,50.0,en,Comedy,Action,Adventure,,,,,,,2007,05
Shrek the Third,tt0413267,2007-05-17,813367380,93,62.699999999999996,en,Fantasy,Adventure,Animation,Comedy,Family,,,,,2007,05
Pirates of the Caribbean: At World's End,tt0449088,2007-05-19,961000000,168,72.33,en,Adventure,Fantasy,Action,,,,,,,2007,05
Bug,tt0470705,2006-11-11,8095658,98,60.93,en,Drama,Horror,Thriller,,,,,,,2006,11
Mr. Brooks,tt0780571,2007-06-01,48443734,120,68.94,en,Crime,Thriller,,,,,,,,2007,06
Rise: Blood Hunter,tt0389328,2007-04-28,2850927,97,50.46,en,Action,Adventure,Horror,Thriller,,,,,,2007,04
Gracie,tt0441007,2007-06-01,2955039,97,63.0,en,Drama,,,,,,,,,2007,06
Zoo,tt0874423,2007-01-20,0,76,50.0,en,Documentary,,,,,,,,,2007,01
Eagle vs Shark,tt0494222,2007-07-15,0,87,65.28,en,Comedy,Romance,,,,,,,,2007,07
88 Minutes,tt0411061,2007-02-14,32593385,108,57.43000000000001,en,Crime,Mystery,Thriller,,,,,,,2007,02
Ocean's Thirteen,tt0496806,2007-06-06,311312624,122,67.06,en,Crime,Thriller,,,,,,,,2007,06
Hostel: Part II,tt0498353,2007-06-08,35728183,93,58.2,en,Horror,,,,,,,,,2007,06
Paranoid Park,tt0842929,2007-07-12,486021,85,65.31,en,Mystery,Crime,Drama,,,,,,,2007,07
Surf's Up,tt0423294,2007-06-08,149044513,85,63.38,en,Animation,Comedy,Family,,,,,,,2007,06
Fantastic Four: Rise of the Silver Surfer,tt0486576,2007-06-13,301913131,92,55.839999999999996,en,Adventure,Fantasy,Action,Thriller,,,,,,2007,06
Nancy Drew,tt0479500,2007-06-15,30715465,99,60.78,en,Family,Adventure,Crime,Mystery,Comedy,,,,,2007,06
Death Proof,tt1028528,2007-05-22,31126421,113,68.17,en,Action,Thriller,,,,,,,,2007,05
