original_title,imdb_id,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,Year,Month
In the Bleak Midwinter,tt0113403,0,99,70.52,en,Comedy,,,,,,,,,,1995,09
La Haine,tt0113247,15300000,98,80.83,fr,Drama,,,,,,,,,,1995,05
Heidi Fleiss: Hollywood Madam,tt0113283,0,106,65.0,en,Documentary,,,,,,,,,,1995,12
City Hall,tt0115907,0,111,59.480000000000004,en,Drama,Thriller,,,,,,,,,1996,02
Bottle Rocket,tt0115734,1040879,91,67.37,en,Comedy,Crime,Drama,,,,,,,,1996,02
Mr. Wrong,tt0117102,0,96,41.0,en,Comedy,Romance,,,,,,,,,1996,02
Unforgettable,tt0118040,0,106,56.18000000000001,en,Action,,,,,,,,,,1996,02
Happy Gilmore,tt0116483,41205099,92,66.14,en,Comedy,,,,,,,,,,1996,02
The Bridges of Madison County,tt0112579,182016617,135,76.8,en,Drama,Romance,,,,,,,,,1995,05
Keiner liebt mich,tt0110251,0,104,62.41,de,Drama,Comedy,Family,,,,,,,,1994,11
Muppet Treasure Island,tt0117110,34327391,100,65.89,en,Action,Comedy,Music,Family,Adventure,Romance,,,,,1996,02
Catwalk,tt0112646,0,95,74.0,en,Documentary,,,,,,,,,,1995,12
Braveheart,tt0112573,213216216,178,79.0,en,Action,Drama,History,War,,,,,,,1995,03
Taxi Driver,tt0075314,28570902,114,81.67,en,Crime,Drama,,,,,,,,,1976,02
紅番區,tt0113326,32392047,104,67.87,cn,Crime,Action,Comedy,Thriller,,,,,,,1995,01
Before and After,tt0115645,8797839,108,60.0,en,Drama,Thriller,Mystery,,,,,,,,1996,02
Anne Frank Remembered,tt0112373,1,117,81.0,en,Documentary,Drama,,,,,,,,,1995,06
The Young Poisoner's Handbook,tt0115033,0,99,66.79,en,Comedy,Crime,Drama,,,,,,,,1995,01
If Lucy Fell,tt0116606,2420162,92,50.769999999999996,en,Comedy,Romance,,,,,,,,,1996,03
Steal Big Steal Little,tt0114536,6278139,113,42.779999999999994,en,Comedy,Drama,,,,,,,,,1995,09
The Boys of St. Vincent,tt0106473,204540,93,72.0,en,Drama,Crime,,,,,,,,,1992,12
Boomerang,tt0103859,70100000,117,56.529999999999994,en,Comedy,Romance,,,,,,,,,1992,06
重慶森林,tt0109424,0,103,80.35,cn,Drama,Comedy,Romance,,,,,,,,1994,07
Flirting with Disaster,tt0116324,14702438,92,62.11,en,Comedy,,,,,,,,,,1996,03
The NeverEnding Story III,tt0110647,0,95,45.0,en,Fantasy,Family,,,,,,,,,1994,10
Jupiter's Wife,tt0110217,0,87,72.0,en,Documentary,Mystery,,,,,,,,,1995,09
Pie in the Sky,tt0114131,0,95,65.91,en,Comedy,Romance,,,,,,,,,1996,02
Jade,tt0113451,9851610,95,54.660000000000004,en,Thriller,Mystery,,,,,,,,,1995,10
Down Periscope,tt0116130,0,92,62.56999999999999,en,Comedy,,,,,,,,,,1996,03
Man of the Year,tt0113756,209935,86,35.0,en,Comedy,,,,,,,,,,1995,09
Up Close & Personal,tt0118055,0,119,63.53,en,Drama,Romance,,,,,,,,,1996,03
The Birdcage,tt0115685,185260553,117,70.28,en,Comedy,,,,,,,,,,1996,03
The Brothers McMullen,tt0112585,0,98,60.35,en,Comedy,Drama,Romance,,,,,,,,1995,08
Bad Boys,tt0112442,141407024,119,67.75999999999999,en,Action,Comedy,Crime,Thriller,,,,,,,1995,04
The Amazing Panda Adventure,tt0112342,7506759,84,57.0,en,Adventure,Drama,Family,,,,,,,,1995,08
The Basketball Diaries,tt0112461,2381087,102,73.83,en,Drama,Crime,,,,,,,,,1995,04
An Awfully Big Adventure,tt0112427,851545,113,64.68,en,Romance,Drama,Comedy,,,,,,,,1995,07
Amateur,tt0109093,0,105,64.77000000000001,en,Crime,Comedy,Drama,Thriller,,,,,,,1994,08
Apollo 13,tt0112384,355237933,140,74.33,en,History,Drama,Adventure,,,,,,,,1995,06
Rob Roy,tt0114287,31596911,139,67.43,en,Adventure,History,Drama,Action,War,,,,,,1995,04
The Addiction,tt0112288,0,82,64.69,en,Drama,Horror,,,,,,,,,1995,01
Batman Forever,tt0112462,336529144,121,54.0,en,Action,Crime,Fantasy,,,,,,,,1995,06
Belle de jour,tt0061395,0,101,74.26,fr,Drama,Romance,,,,,,,,,1967,05
Beyond Rangoon,tt0112495,14700000,100,67.0,en,Drama,Thriller,,,,,,,,,1995,05
Blue in the Face,tt0112541,1275000,83,66.59,en,Comedy,,,,,,,,,,1995,09
Canadian Bacon,tt0109370,178104,91,57.61,en,Comedy,,,,,,,,,,1995,06
Casper,tt0112642,287928194,100,63.07000000000001,en,Fantasy,Comedy,Family,,,,,,,,1995,05
Clockers,tt0112688,13071518,128,68.52000000000001,en,Mystery,Crime,Drama,,,,,,,,1995,09
Congo,tt0112715,152022101,109,55.03999999999999,en,Action,Adventure,Science Fiction,,,,,,,,1995,06
