,Release Group,Rollout,Markets,Domestic,International,Worldwide,imdb_id,Area,Release Date,Opening,Gross,Filmmakers,Role,# Releases,Lifetime Gross,Rank
0,,,,,,,tt0115734,Domestic,"Feb 21, 1996","$124,118","$560,069",,,,,
0,,,,,,,tt0117102,Domestic,"Feb 16, 1996","$5,106,797","$12,825,141",,,,,
0,,,,,,,tt0118040,Domestic,"Feb 23, 1996","$1,442,215","$2,821,671",,,,,
0,Original Release,"February 16, 1996",Domestic,"$38,824,099",–,"$38,824,099",tt0116483,,,,,,,,,
0,,,,,,,tt0112579,Domestic,"Jun 2, 1995","$10,519,257","$71,516,617",,,,,
0,,,,,,,tt0110251,,,,,Doris Dörrie,Director,,,
0,,,,,,,tt0117110,Domestic,"Feb 16, 1996","$7,906,689","$34,327,391",,,,,
0,,,,,,,tt0112646,Domestic,"Feb 16, 1996","$9,560","$28,672",,,,,
0,Original Release,"May 24, 1995",Domestic,"$75,609,945",–,"$75,609,945",tt0112573,,,,,,,,,
0,Original Release,"February 7, 1976",Domestic,"$27,300,000",–,"$27,300,000",tt0075314,,,,,,,,,
0,,,,,,,tt0113326,Domestic,"Feb 23, 1996","$9,858,380","$32,392,047",,,,,
0,,,,,,,tt0115645,Domestic,"Feb 23, 1996","$4,023,815","$8,797,839",,,,,
0,,,,,,,tt0112373,Domestic,"Feb 23, 1996","$26,697","$1,310,200",,,,,
0,,,,,,,tt0115033,Domestic,"Feb 23, 1996",–,"$536,825",,,,,
0,,,,,,,tt0116606,Domestic,"Mar 8, 1996","$1,308,088","$2,420,162",,,,,
0,,,,,,,tt0114536,Domestic,"Sep 29, 1995","$1,761,890","$3,150,170",,,,,
0,,,,,,,tt0106473,,,,,John N. Smith,Director,,,
0,,,,,,,tt0103859,Domestic,"Jul 1, 1992","$13,640,706","$70,052,444",,,,,
0,Original Release,"March 8, 1996",Domestic,"$600,200",–,"$600,200",tt0109424,,,,,,,,,
0,,,,,,,tt0116324,Domestic,"Mar 22, 1996","$164,458","$14,702,438",,,,,
0,,,,,,,tt0110217,Domestic,"Aug 18, 1995","$3,673","$10,622",,,,,
0,,,,,,,tt0114131,,,,,Bryan Gordon,Director,,,
0,,,,,,,tt0113451,Domestic,"Oct 13, 1995","$4,284,246","$9,851,610",,,,,
0,,,,,,,tt0116130,Domestic,"Mar 1, 1996","$7,231,087","$25,785,603",,,,,
0,,,,,,,tt0113756,Domestic,"Mar 1, 1996","$26,147","$209,935",,,,,
0,,,,,,,tt0118055,Domestic,"Mar 1, 1996","$11,101,955","$51,088,705",,,,,
0,,,,,,,tt0115685,Domestic,"Mar 8, 1996","$18,275,828","$124,060,553",,,,,
0,,,,,,,tt0112585,Domestic,"Aug 11, 1995","$167,815","$10,426,506",,,,,
0,,,,,,,tt0112442,Domestic,"Apr 7, 1995","$15,523,358","$65,807,024",,,,,
0,,,,,,,tt0112342,Domestic,"Aug 25, 1995","$2,413,107","$7,506,759",,,,,
0,Original Release,"April 21, 1995",Domestic,"$2,381,087",–,"$2,381,087",tt0112461,,,,,,,,,
