,Area,Release Date,Opening,Gross,imdb_id,Release Group,Rollout,Markets,Domestic,International,Worldwide,Filmmakers,Role,APAC,# Releases,Lifetime Gross,Rank
0,,,,,tt6876598,,,,,,,François Barré,Director,,,,
0,United Kingdom,"Mar 9, 2018","$65,229","$65,229",tt5462326,,,,,,,,,,,,
0,,,,,tt6254144,,,,,,,Tonislav Hristov,Director,,,,
0,Russia/CIS,"Oct 18, 2018","$4,356","$12,685",tt5323760,,,,,,,,,,,,
0,,,,,tt4519400,,,,,,,Thomas J. Churchill,Director,,,,
0,,,,,tt4587656,Original Release,"November 15-February 2, 2018",35 markets,"$40,852,824","$21,960,150","$62,812,974",,,,,,
0,,,,,tt6150238,Original Release,"June 16, 2016",South Korea,–,"$83,444","$83,444",,,,,,
0,,,,,tt3824432,,,,,,,N.V. Nirmal Kumar,Director,,,,
0,,,,,tt3232156,,,,,,,Suseenthiran,Director,,,,
0,Malaysia,"Aug 19, 2010","$113,672","$302,309",tt1507005,,,,,,,,,,,,
0,Domestic,"Aug 17, 2018","$108,284","$9,601,092",tt3750872,,,,,,,,,,,,
0,Domestic,"Mar 9, 2018","$24,840","$400,530",tt6263828,,,,,,,,,,,,
0,Domestic,"Oct 20, 2017","$58,348","$1,723,379",tt7207238,,,,,,,,,,,,
0,South Africa,"Mar 28, 2014","$15,762","$36,374",tt3243554,,,,,,,,,,,,
0,,,,,tt1934234,Original Release,"April 12, 2012",Italy,–,"$2,558,925","$2,558,925",,,,,,
0,,,,,tt1467030,,,,,,,Shelley Lee Davies,Director,,,,
0,,,,,tt4817640,,,,,,,Charles Band,Director,,,,
0,,,,,tt2268018,,,,,,,Mitesh Kumar Patel,Director,,,,
0,,,,,tt4126434,,,,,,,Byrum Geisler,Director,,,,
0,,,,,tt2076871,,,,,,,Kieran Evans,Director,,,,
0,,,,,tt3710966,2020 Re-release,"September 17, 2020",Germany,–,"$524,810","$524,810",,,,,,
0,,,,,tt7608418,,,,,,,Alex Zamm,Director,,,,
0,Belgium,"Sep 23, 2015","$5,975","$20,771",tt4926026,,,,,,,,,,,,
0,United Kingdom,"Feb 10, 2017","$9,309","$9,309",tt2638900,,,,,,,,,,,,
0,,,,,tt1202753,,,,,,,Paul Clark,Director,,,,
0,,,,,tt4933472,,,,,,,Charles Band,Director,,,,
0,,,,,tt3726252,,,,,,,Vaughan Sivell,Director,,,,
0,United Kingdom,"Sep 29, 2017","$6,613","$6,613",tt6760956,,,,,,,,,,,,
0,United Arab Emirates,"Jan 4, 2018","$56,196","$58,970",tt6143568,,,,,,,,,,,,
0,,,,,tt6920766,,,,,,,Yves Simoneau,Director,,,,
0,,,,,tt5716624,,,,,,,Richard Shepard,Director,,,,
0,,,,,tt3560658,,,,,,,Brian Clyde,Director,,,,
0,,,,,tt5540194,Original Release,"May 26, 2017",United Kingdom,–,"$4,209","$4,209",,,,,,
0,Germany,"Oct 20, 2016","$678,643","$780,412",tt5048716,,,,,,,,,,,,
0,,,,,tt7291132,,,,,,,Nigel Cole,Director,,,,
0,France,"Apr 19, 2017","$301,087","$301,087",tt4467194,,,,,,,,,,,,
0,,,,,tt3530830,,,,,,,Andreas Luetzelschwab,Director,,,,
0,Russia/CIS,"Apr 9, 2009",–,"$88,998",tt1395059,,,,,,,,,,,,
0,United Kingdom,"Oct 28, 2016","$13,033","$39,012",tt4528454,,,,,,,,,,,,
0,United Kingdom,"Nov 11, 2011","$2,686","$15,496",tt1884438,,,,,,,,,,,,
0,,,,,tt3913244,Original Release,"July 21-March 23, 2017",6 markets,"$6,208","$261,787","$267,995",,,,,,
0,United Kingdom,"Jan 12, 2018","$247,266","$289,434",tt6498644,,,,,,,,,,,,
0,,,,,tt4503084,,,,,,,Lisandro Duque Naranjo,Director,,,,
0,Spain,"Oct 9, 2015",–,"$511,924",tt3721072,,,,,,,,,,,,
0,,,,,tt3202366,,,,,,,Christophe Honoré,Director,,,,
0,Spain,"Feb 17, 2017","$803,378","$2,911,084",tt4356480,,,,,,,,,,,,
0,Domestic,"Apr 8, 2016",$47,"$2,242",tt3262252,,,,,,,,,,,,
0,,,,,tt6074358,,,,,,,Alberto Rondalli,Director,,,,
0,,,,,tt7043176,,,,,,,Jennifer Baichwal,Director,,,,
